cluster_name,acousticness,instrumentalness,speechiness,popularity
Acoustic Instrumental,0.436,0.0301,0.136,62
Acoustic Instrumental,0.473,4.97e-05,0.0696,63
Acoustic Instrumental,0.756,0.000517,0.14,56
Acoustic Instrumental,0.508,0.804,0.098,37
Acoustic Instrumental,0.724,0.974,0.165,53
Instrumental Focus,0.247,0.0199,0.0687,26
Acoustic Instrumental,0.511,0.000608,0.0829,35
Acoustic Instrumental,0.596,0.051,0.183,43
Acoustic Instrumental,0.537,0.113,0.0766,42
Acoustic Instrumental,0.472,0.0585,0.0777,41
Instrumental Focus,0.136,0.0354,0.0878,33
Instrumental Focus,0.247,0.00104,0.134,41
Acoustic Instrumental,0.589,0.175,0.15,29
Acoustic Instrumental,0.746,0.797,0.0635,31
Acoustic Instrumental,0.582,5.64e-05,0.213,31
Acoustic Instrumental,0.608,0.00024,0.132,30
Acoustic Instrumental,0.875,1.76e-05,0.0325,29
Acoustic Instrumental,0.596,0.051,0.183,27
Acoustic Instrumental,0.601,0.00103,0.133,32
Acoustic Instrumental,0.48,0.115,0.209,27
Acoustic Instrumental,0.801,0.00158,0.0353,42
Acoustic Instrumental,0.588,0.0125,0.205,69
Instrumental Focus,0.136,0.0354,0.0878,54
Acoustic Instrumental,0.465,1.24e-05,0.0512,51
Acoustic Instrumental,0.676,1.06e-06,0.27,46
Acoustic Instrumental,0.582,5.64e-05,0.213,48
Acoustic Instrumental,0.731,0.0483,0.11,53
Acoustic Instrumental,0.606,0.149,0.194,51
Acoustic Instrumental,0.922,0.000287,0.0314,45
Acoustic Instrumental,0.666,0.00709,0.129,45
Acoustic Instrumental,0.335,0.00215,0.148,36
Acoustic Instrumental,0.883,0.022,0.0429,31
Instrumental Focus,0.168,0.011,0.111,35
Instrumental Focus,0.228,0.0268,0.117,45
Acoustic Instrumental,0.946,0.139,0.0296,33
Acoustic Instrumental,0.5,0.0504,0.362,31
Acoustic Instrumental,0.682,0.000154,0.204,32
Acoustic Instrumental,0.335,0.00215,0.148,29
Acoustic Instrumental,0.884,0.0197,0.0516,34
Acoustic Instrumental,0.511,6.47e-05,0.135,30
Acoustic Instrumental,0.875,8.55e-05,0.0284,29
Acoustic Instrumental,0.447,2.51e-05,0.199,62
Acoustic Instrumental,0.798,0.104,0.0322,52
Acoustic Instrumental,0.446,1.17e-05,0.0515,47
Instrumental Focus,0.274,1.92e-05,0.0839,26
Acoustic Instrumental,0.582,2.94e-05,0.213,38
Instrumental Focus,0.256,0.000201,0.111,32
Acoustic Instrumental,0.61,1.28e-06,0.0428,57
Acoustic Instrumental,0.826,9.09e-06,0.0329,53
Acoustic Instrumental,0.611,1.13e-06,0.0428,43
Instrumental Focus,0.353,1.15e-05,0.0928,34
Acoustic Instrumental,0.166,3.93e-05,0.196,26
Acoustic Instrumental,0.358,0.000158,0.0426,42
Acoustic Instrumental,0.165,4.11e-05,0.195,26
Instrumental Focus,0.365,1.2e-05,0.0961,27
Acoustic Instrumental,0.58,4.01e-05,0.0968,27
Acoustic Instrumental,0.425,0.000272,0.0681,54
Acoustic Instrumental,0.33,2.85e-05,0.0279,56
Acoustic Instrumental,0.856,0.000101,0.0325,47
Acoustic Instrumental,0.485,0.159,0.0348,35
Instrumental Focus,0.288,0.078,0.0521,29
Acoustic Instrumental,0.717,2.27e-05,0.0289,32
Acoustic Instrumental,0.915,0.101,0.0298,28
Acoustic Instrumental,0.721,2.53e-05,0.0289,35
Acoustic Instrumental,0.438,0.000399,0.0808,26
Instrumental Focus,0.329,0.143,0.068,37
Acoustic Instrumental,0.173,0.0242,0.174,44
Acoustic Instrumental,0.909,0.848,0.0375,33
Instrumental Focus,0.287,0.0912,0.055,35
Acoustic Instrumental,0.418,1.31e-05,0.0367,45
Acoustic Instrumental,0.864,5.2e-05,0.0316,33
Acoustic Instrumental,0.495,1.35e-06,0.321,33
Instrumental Focus,0.26,1.42e-05,0.0326,27
Acoustic Instrumental,0.418,1.31e-05,0.0367,50
Acoustic Instrumental,0.495,1.35e-06,0.321,34
Acoustic Instrumental,0.182,0.389,0.041,27
Acoustic Instrumental,0.54,0.0129,0.132,57
Acoustic Instrumental,0.648,0.00189,0.0925,41
Acoustic Instrumental,0.617,0.00276,0.0618,27
Acoustic Instrumental,0.465,0.0262,0.115,35
Acoustic Instrumental,0.578,0.00197,0.262,30
Acoustic Instrumental,0.677,0.00896,0.107,27
Acoustic Instrumental,0.639,0.231,0.0385,30
Acoustic Instrumental,0.71,0.0423,0.0524,32
Instrumental Focus,0.154,0.0358,0.0653,52
Acoustic Instrumental,0.452,0.0163,0.0429,46
Acoustic Instrumental,0.758,0.00553,0.044,36
Acoustic Instrumental,0.669,0.00697,0.0694,40
Acoustic Instrumental,0.925,0.0016,0.0418,34
Acoustic Instrumental,0.779,0.00113,0.0363,32
Acoustic Instrumental,0.729,0.0618,0.122,27
Acoustic Instrumental,0.713,0.00466,0.118,53
Acoustic Instrumental,0.758,0.00553,0.044,44
Acoustic Instrumental,0.779,0.00113,0.0363,43
Acoustic Instrumental,0.825,0.0113,0.0389,28
Acoustic Instrumental,0.724,0.0073,0.136,37
Acoustic Instrumental,0.808,0.113,0.258,27
Acoustic Instrumental,0.815,0.473,0.0707,28
Acoustic Instrumental,0.789,0.101,0.0418,26
Acoustic Instrumental,0.457,0.0529,0.064,50
Acoustic Instrumental,0.62,0.00446,0.034,40
Acoustic Instrumental,0.453,0.421,0.0359,29
Acoustic Instrumental,0.68,0.0282,0.17,65
Acoustic Instrumental,0.639,0.227,0.0385,55
Acoustic Instrumental,0.747,0.141,0.217,50
Acoustic Instrumental,0.667,0.00692,0.0688,44
Acoustic Instrumental,0.384,0.00638,0.0853,32
Acoustic Instrumental,0.73,0.0633,0.123,41
Acoustic Instrumental,0.357,0.00125,0.0291,32
Acoustic Instrumental,0.466,0.000572,0.0689,29
Acoustic Instrumental,0.66,0.0113,0.209,42
Instrumental Focus,0.137,0.333,0.0446,41
Acoustic Instrumental,0.643,0.000669,0.0765,39
Acoustic Instrumental,0.619,0.815,0.0386,36
Acoustic Instrumental,0.673,0.478,0.051,37
Acoustic Instrumental,0.441,0.0034,0.2,33
Acoustic Instrumental,0.56,0.000735,0.0781,36
Acoustic Instrumental,0.395,0.114,0.0741,31
Acoustic Instrumental,0.619,0.186,0.0768,28
Acoustic Instrumental,0.665,0.0731,0.0359,32
Acoustic Instrumental,0.853,0.338,0.0339,37
Acoustic Instrumental,0.611,0.593,0.101,27
Instrumental Focus,0.0998,0.0267,0.0518,55
Acoustic Instrumental,0.651,0.159,0.0513,48
Acoustic Instrumental,0.509,0.000289,0.0732,39
Acoustic Instrumental,0.451,0.287,0.0803,36
Acoustic Instrumental,0.452,0.0163,0.0429,50
Acoustic Instrumental,0.934,0.205,0.0289,39
Acoustic Instrumental,0.308,0.0141,0.143,58
Acoustic Instrumental,0.573,0.131,0.0743,34
Instrumental Focus,0.111,0.0139,0.0426,40
Acoustic Instrumental,0.946,0.00103,0.0333,32
Instrumental Focus,0.215,0.00385,0.0324,27
Acoustic Instrumental,0.518,0.00234,0.188,26
Acoustic Instrumental,0.645,0.335,0.117,27
Instrumental Focus,0.0377,0.000207,0.0739,31
Instrumental Focus,0.00849,0.00791,0.0516,31
Instrumental Focus,0.073,1.38e-06,0.0377,58
Instrumental Focus,0.0397,1.26e-06,0.0509,34
Instrumental Focus,0.0397,1.26e-06,0.0509,33
Acoustic Instrumental,0.781,0.000522,0.0346,33
Instrumental Focus,0.0457,0.000988,0.0404,31
Instrumental Focus,0.142,0.00569,0.115,34
Acoustic Instrumental,0.781,0.000522,0.0346,55
Instrumental Focus,0.162,0.000164,0.0493,36
Instrumental Focus,0.0687,7.92e-06,0.07,27
Acoustic Instrumental,0.781,0.000522,0.0346,46
Instrumental Focus,0.0406,4.1e-06,0.0608,43
Instrumental Focus,0.103,0.000224,0.0753,39
Instrumental Focus,0.289,3.29e-06,0.0917,31
Instrumental Focus,0.0562,0.000162,0.0826,57
Acoustic Instrumental,0.137,0.000243,0.171,49
Instrumental Focus,0.00812,0.00213,0.0621,35
Instrumental Focus,0.00587,0.00311,0.0638,32
Instrumental Focus,0.151,1.64e-06,0.0986,29
Instrumental Focus,0.0483,7.01e-05,0.0415,61
Instrumental Focus,0.0314,0.00109,0.0373,36
Acoustic Instrumental,0.606,3.27e-05,0.0479,39
Instrumental Focus,0.263,5.74e-06,0.0834,38
Instrumental Focus,0.333,1.4e-05,0.123,26
Instrumental Focus,0.144,3.34e-05,0.0306,36
Instrumental Focus,0.228,1.18e-06,0.0404,68
Instrumental Focus,0.194,0.000368,0.0468,63
Instrumental Focus,0.0701,1.57e-05,0.0963,43
Instrumental Focus,0.119,0.0066,0.038,27
Instrumental Focus,0.0406,4.1e-06,0.0608,58
Acoustic Instrumental,0.0196,4.65e-06,0.159,44
Acoustic Instrumental,0.707,0.000116,0.0253,29
Acoustic Instrumental,0.168,0.000355,0.223,35
Acoustic Instrumental,0.348,0.0279,0.187,38
Instrumental Focus,0.149,0.000354,0.0593,36
Instrumental Focus,0.184,0.00154,0.0848,28
Acoustic Instrumental,0.0139,2.97e-06,0.181,30
Acoustic Instrumental,0.129,0.00589,0.175,27
Instrumental Focus,0.114,2.31e-05,0.0797,41
Instrumental Focus,0.00335,0.00031,0.0603,56
Acoustic Instrumental,0.0784,8.64e-06,0.18,57
Acoustic Instrumental,0.781,0.000522,0.0346,63
Acoustic Instrumental,0.461,6.13e-05,0.0254,61
Instrumental Focus,0.103,0.000224,0.0753,50
Instrumental Focus,0.00338,0.0864,0.0413,28
Acoustic Instrumental,0.436,4.49e-05,0.173,28
Acoustic Instrumental,0.952,3.24e-05,0.0356,41
Acoustic Instrumental,0.632,0.00145,0.0336,56
Acoustic Instrumental,0.421,4.09e-05,0.0383,40
Acoustic Instrumental,0.852,0.000115,0.0272,31
Acoustic Instrumental,0.827,9.35e-06,0.0281,47
Acoustic Instrumental,0.64,0.000367,0.0438,34
Acoustic Instrumental,0.643,2.23e-06,0.0341,33
Acoustic Instrumental,0.81,0.0333,0.0668,57
Acoustic Instrumental,0.675,2.58e-06,0.0315,48
Acoustic Instrumental,0.45,0.00101,0.0566,56
Acoustic Instrumental,0.82,7.21e-06,0.0609,64
Acoustic Instrumental,0.87,0.00163,0.0342,57
Acoustic Instrumental,0.607,1.32e-05,0.0487,51
Acoustic Instrumental,0.589,1.01e-06,0.0343,52
Acoustic Instrumental,0.745,2.19e-06,0.0706,52
Acoustic Instrumental,0.393,0.0107,0.0852,48
Acoustic Instrumental,0.606,0.000386,0.0426,53
Acoustic Instrumental,0.45,0.00101,0.0566,43
Acoustic Instrumental,0.947,0.658,0.0462,30
Acoustic Instrumental,0.746,3.01e-05,0.0298,47
Acoustic Instrumental,0.588,0.169,0.0385,48
Acoustic Instrumental,0.736,4.05e-06,0.11,42
Instrumental Focus,0.238,0.000299,0.0295,39
Acoustic Instrumental,0.592,3.49e-05,0.0414,35
Instrumental Focus,0.127,4.36e-05,0.0498,31
Acoustic Instrumental,0.454,0.000252,0.0252,31
Instrumental Focus,0.0639,0.000192,0.0271,30
Acoustic Instrumental,0.589,1.01e-06,0.0343,28
Instrumental Focus,0.217,1.07e-06,0.0545,31
Instrumental Focus,0.179,6.43e-06,0.0254,28
Acoustic Instrumental,0.87,0.00163,0.0342,29
Acoustic Instrumental,0.606,0.000386,0.0426,27
Acoustic Instrumental,0.585,5.51e-05,0.0297,30
Acoustic Instrumental,0.684,0.038,0.0545,33
Acoustic Instrumental,0.589,1.01e-06,0.0343,26
Acoustic Instrumental,0.736,4.05e-06,0.11,27
Acoustic Instrumental,0.746,3.01e-05,0.0298,29
Acoustic Instrumental,0.949,1.89e-05,0.0346,30
Acoustic Instrumental,0.544,6.3e-05,0.0293,26
Acoustic Instrumental,0.87,0.00163,0.0342,65
Acoustic Instrumental,0.817,0.0308,0.0469,46
Acoustic Instrumental,0.364,1.58e-06,0.0278,42
Acoustic Instrumental,0.834,7.29e-05,0.0243,46
Acoustic Instrumental,0.884,0.0713,0.035,28
Acoustic Instrumental,0.714,0.0263,0.0473,47
Acoustic Instrumental,0.627,0.0134,0.0515,36
Acoustic Instrumental,0.407,0.000706,0.037,27
Acoustic Instrumental,0.478,9.6e-05,0.0499,43
Instrumental Focus,0.173,1.94e-05,0.0456,41
Acoustic Instrumental,0.792,0.0082,0.0679,48
Instrumental Focus,0.0266,1.03e-05,0.0339,29
Acoustic Instrumental,0.364,1.58e-06,0.0278,30
Acoustic Instrumental,0.689,0.0256,0.0327,41
Acoustic Instrumental,0.719,0.00111,0.0245,48
Instrumental Focus,0.173,1.94e-05,0.0456,27
Acoustic Instrumental,0.44,2.98e-05,0.0525,29
Acoustic Instrumental,0.738,0.00224,0.0311,28
Acoustic Instrumental,0.478,9.6e-05,0.0499,27
Acoustic Instrumental,0.627,0.0134,0.0515,30
Acoustic Instrumental,0.951,0.00895,0.0378,30
Acoustic Instrumental,0.83,0.000908,0.0456,27
Instrumental Focus,0.284,0.00316,0.0314,28
Acoustic Instrumental,0.663,3.27e-05,0.0417,26
Acoustic Instrumental,0.607,1.32e-05,0.0487,27
Acoustic Instrumental,0.713,3.15e-05,0.038,71
Acoustic Instrumental,0.538,5e-06,0.0831,55
Instrumental Focus,0.127,4.36e-05,0.0498,37
Acoustic Instrumental,0.713,3.15e-05,0.038,44
Acoustic Instrumental,0.659,7.37e-06,0.0375,34
Acoustic Instrumental,0.78,0.000242,0.0322,31
Acoustic Instrumental,0.753,0.503,0.057,35
Acoustic Instrumental,0.722,0.0261,0.0578,30
Instrumental Focus,0.0705,0.0207,0.0337,30
Acoustic Instrumental,0.734,0.0901,0.0589,28
Acoustic Instrumental,0.803,0.0389,0.448,28
Acoustic Instrumental,0.722,1.15e-05,0.0283,26
Acoustic Instrumental,0.454,2.88e-06,0.0376,29
Acoustic Instrumental,0.341,4.45e-06,0.0306,64
Acoustic Instrumental,0.703,0.00161,0.0334,64
Acoustic Instrumental,0.722,1.15e-05,0.0283,61
Acoustic Instrumental,0.796,0.0178,0.0277,50
Acoustic Instrumental,0.89,1.53e-05,0.0351,38
Instrumental Focus,0.086,0.000694,0.044,33
Instrumental Focus,0.00343,3.73e-06,0.0746,39
Instrumental Focus,0.204,1.69e-05,0.0647,30
Acoustic Instrumental,0.454,0.000252,0.0252,34
Acoustic Instrumental,0.621,3.9e-05,0.038,29
Instrumental Focus,0.00343,3.73e-06,0.0746,28
Acoustic Instrumental,0.606,0.000333,0.0372,70
Acoustic Instrumental,0.557,3.29e-05,0.0352,67
Instrumental Focus,0.0173,0.00104,0.0535,57
Acoustic Instrumental,0.572,0.000411,0.0348,45
Acoustic Instrumental,0.412,1.58e-05,0.0372,59
Acoustic Instrumental,0.417,3.84e-06,0.0363,52
Instrumental Focus,0.0744,0.000175,0.0323,40
Instrumental Focus,0.166,2.54e-05,0.0857,47
Acoustic Instrumental,0.34,4.66e-06,0.0313,46
Acoustic Instrumental,0.644,0.000292,0.0301,52
Acoustic Instrumental,0.359,0.0552,0.0421,42
Acoustic Instrumental,0.7,1.75e-05,0.0298,40
Instrumental Focus,0.0307,3.51e-06,0.0395,42
Acoustic Instrumental,0.824,4.02e-06,0.0249,54
Acoustic Instrumental,0.534,6.57e-06,0.0333,49
Acoustic Instrumental,0.736,4.05e-06,0.11,48
Acoustic Instrumental,0.722,1.15e-05,0.0283,43
Acoustic Instrumental,0.702,0.00163,0.0333,43
Acoustic Instrumental,0.728,3.62e-05,0.0262,51
Acoustic Instrumental,0.534,6.57e-06,0.0333,36
Acoustic Instrumental,0.26,1.43e-06,0.221,40
Acoustic Instrumental,0.592,3.49e-05,0.0414,40
Acoustic Instrumental,0.494,7.58e-05,0.0317,41
Acoustic Instrumental,0.452,2.75e-06,0.0345,34
Instrumental Focus,0.218,0.000104,0.0295,35
Acoustic Instrumental,0.397,1.8e-06,0.0294,47
Acoustic Instrumental,0.693,2.55e-05,0.0318,40
Acoustic Instrumental,0.809,0.0119,0.0406,43
Acoustic Instrumental,0.713,0.000136,0.0297,41
Instrumental Focus,0.1,5.86e-06,0.0427,31
Acoustic Instrumental,0.516,0.000423,0.0306,28
Acoustic Instrumental,0.73,0.00226,0.0272,28
Acoustic Instrumental,0.722,1.15e-05,0.0283,38
Acoustic Instrumental,0.346,0.0439,0.0319,73
Acoustic Instrumental,0.386,0.000106,0.0272,58
Acoustic Instrumental,0.855,3.42e-05,0.0341,46
Acoustic Instrumental,0.541,5.79e-05,0.0288,55
Acoustic Instrumental,0.541,5.79e-05,0.0288,29
Acoustic Instrumental,0.579,0.0355,0.0342,40
Instrumental Focus,0.179,6.43e-06,0.0254,41
Acoustic Instrumental,0.579,0.0355,0.0342,41
Acoustic Instrumental,0.722,1.15e-05,0.0283,45
Instrumental Focus,0.0639,0.000192,0.0271,35
Acoustic Instrumental,0.753,1.46e-05,0.0924,35
Acoustic Instrumental,0.722,1.15e-05,0.0283,45
Instrumental Focus,0.1,5.86e-06,0.0427,36
Acoustic Instrumental,0.26,1.43e-06,0.221,34
Acoustic Instrumental,0.606,0.000333,0.0372,34
Instrumental Focus,0.256,1.08e-05,0.0919,43
Acoustic Instrumental,0.899,7.44e-06,0.038,28
Acoustic Instrumental,0.597,0.000129,0.0301,36
Acoustic Instrumental,0.728,3.62e-05,0.0262,34
Instrumental Focus,0.0708,0.000513,0.0407,28
Acoustic Instrumental,0.503,0.0104,0.035,29
Instrumental Focus,0.0811,2.89e-06,0.0583,46
Acoustic Instrumental,0.722,1.15e-05,0.0283,61
Acoustic Instrumental,0.26,1.43e-06,0.221,53
Acoustic Instrumental,0.589,1.01e-06,0.0343,58
Acoustic Instrumental,0.397,1.8e-06,0.0294,55
Acoustic Instrumental,0.606,0.000386,0.0426,50
Acoustic Instrumental,0.849,0.00217,0.0425,51
Acoustic Instrumental,0.664,6.13e-06,0.0249,52
Acoustic Instrumental,0.693,2.55e-05,0.0318,43
Acoustic Instrumental,0.702,0.00163,0.0333,47
Instrumental Focus,0.0811,2.89e-06,0.0583,26
Acoustic Instrumental,0.643,1.05e-05,0.0459,43
Instrumental Focus,0.325,0.000157,0.0364,45
Acoustic Instrumental,0.592,0.000701,0.101,49
Acoustic Instrumental,0.746,3.01e-05,0.0298,45
Acoustic Instrumental,0.698,1.16e-06,0.0366,39
Acoustic Instrumental,0.693,2.55e-05,0.0318,38
Acoustic Instrumental,0.722,1.15e-05,0.0283,38
Acoustic Instrumental,0.417,3.84e-06,0.0363,35
Acoustic Instrumental,0.426,1.96e-06,0.0282,34
Acoustic Instrumental,0.728,3.62e-05,0.0262,38
Acoustic Instrumental,0.713,0.000136,0.0297,43
Instrumental Focus,0.0173,0.00104,0.0535,36
Acoustic Instrumental,0.26,1.43e-06,0.221,36
Instrumental Focus,0.166,1.07e-05,0.0409,36
Acoustic Instrumental,0.704,1.79e-05,0.0411,36
Acoustic Instrumental,0.606,0.000333,0.0372,29
Acoustic Instrumental,0.722,1.15e-05,0.0283,29
Acoustic Instrumental,0.698,1.16e-06,0.0366,37
Acoustic Instrumental,0.359,0.0552,0.0421,27
Acoustic Instrumental,0.397,1.8e-06,0.0294,38
Acoustic Instrumental,0.494,7.58e-05,0.0317,36
Acoustic Instrumental,0.592,0.000701,0.101,33
Instrumental Focus,0.178,5.71e-06,0.0387,30
Instrumental Focus,0.1,5.86e-06,0.0427,35
Acoustic Instrumental,0.368,0.000117,0.252,27
Acoustic Instrumental,0.369,0.017,0.0309,30
Acoustic Instrumental,0.621,5.7e-05,0.0295,28
Acoustic Instrumental,0.359,0.0552,0.0421,29
Acoustic Instrumental,0.494,7.58e-05,0.0317,68
Acoustic Instrumental,0.436,2.89e-06,0.0311,70
Acoustic Instrumental,0.579,3.39e-06,0.0391,63
Acoustic Instrumental,0.728,3.62e-05,0.0262,64
Acoustic Instrumental,0.7,1.75e-05,0.0298,47
Acoustic Instrumental,0.424,3.92e-06,0.0363,55
Acoustic Instrumental,0.728,3.62e-05,0.0262,60
Acoustic Instrumental,0.829,1.91e-05,0.0337,53
Acoustic Instrumental,0.809,0.0119,0.0406,52
Acoustic Instrumental,0.809,0.0117,0.0407,55
Acoustic Instrumental,0.824,4.02e-06,0.0249,57
Acoustic Instrumental,0.606,0.000333,0.0372,34
Instrumental Focus,0.1,5.86e-06,0.0427,50
Acoustic Instrumental,0.698,1.16e-06,0.0366,43
Acoustic Instrumental,0.645,3.96e-06,0.0472,49
Acoustic Instrumental,0.488,1.66e-06,0.0293,51
Acoustic Instrumental,0.713,0.000136,0.0297,53
Acoustic Instrumental,0.698,1.16e-06,0.0366,42
Acoustic Instrumental,0.926,0.00277,0.0323,38
Acoustic Instrumental,0.718,0.000366,0.0276,43
Acoustic Instrumental,0.713,0.000136,0.0297,47
Acoustic Instrumental,0.761,2.58e-06,0.0239,34
Acoustic Instrumental,0.617,2.4e-06,0.0477,30
Instrumental Focus,0.0199,9.17e-05,0.0511,33
Acoustic Instrumental,0.7,1.75e-05,0.0298,26
Instrumental Focus,0.166,2.54e-05,0.0857,31
Acoustic Instrumental,0.766,0.000407,0.0263,31
Instrumental Focus,0.0173,0.00104,0.0535,28
Acoustic Instrumental,0.747,0.000126,0.0883,31
Acoustic Instrumental,0.585,5.51e-05,0.0297,34
Acoustic Instrumental,0.417,3.84e-06,0.0363,27
Acoustic Instrumental,0.589,1.07e-06,0.0281,26
Instrumental Focus,0.0354,1.49e-06,0.0425,27
Acoustic Instrumental,0.839,2e-06,0.0331,28
Acoustic Instrumental,0.73,5.4e-05,0.0276,28
Acoustic Instrumental,0.601,3.93e-06,0.0767,26
Acoustic Instrumental,0.397,1.8e-06,0.0294,59
Acoustic Instrumental,0.412,1.58e-05,0.0372,52
Acoustic Instrumental,0.0382,2.3e-05,0.186,46
Acoustic Instrumental,0.359,2.66e-05,0.0296,50
Instrumental Focus,0.12,3.63e-06,0.137,32
Acoustic Instrumental,0.527,1.43e-06,0.206,30
Instrumental Focus,0.0867,3.26e-05,0.0329,40
Acoustic Instrumental,0.403,0.000644,0.0378,28
Acoustic Instrumental,0.866,0.0178,0.0372,26
Acoustic Instrumental,0.819,1.24e-06,0.0305,28
Acoustic Instrumental,0.577,0.000994,0.0491,28
Acoustic Instrumental,0.606,0.000333,0.0372,70
Acoustic Instrumental,0.26,1.43e-06,0.221,59
Instrumental Focus,0.0173,0.00104,0.0535,63
Acoustic Instrumental,0.572,0.000411,0.0348,54
Instrumental Focus,0.0307,3.51e-06,0.0395,48
Instrumental Focus,0.0833,0.000242,0.0292,33
Acoustic Instrumental,0.513,1.84e-06,0.0263,48
Instrumental Focus,0.1,5.86e-06,0.0427,54
Acoustic Instrumental,0.607,1.32e-05,0.0487,50
Acoustic Instrumental,0.365,0.000442,0.0379,32
Acoustic Instrumental,0.886,2.65e-05,0.0311,42
Instrumental Focus,0.259,4.06e-06,0.0528,42
Acoustic Instrumental,0.6,0.000188,0.0405,41
Acoustic Instrumental,0.673,1.61e-06,0.0288,38
Acoustic Instrumental,0.884,2.13e-06,0.036,26
Instrumental Focus,0.0248,3.03e-06,0.096,30
Instrumental Focus,0.00476,0.000473,0.0388,27
Acoustic Instrumental,0.863,5.01e-05,0.0235,33
Acoustic Instrumental,0.766,0.000407,0.0263,66
Acoustic Instrumental,0.808,1.8e-05,0.0299,30
Acoustic Instrumental,0.393,0.00267,0.0337,55
Instrumental Focus,0.0698,0.0653,0.0301,55
Instrumental Focus,0.166,2.54e-05,0.0857,37
Acoustic Instrumental,0.447,2.16e-06,0.0284,41
Acoustic Instrumental,0.76,1.24e-05,0.0292,41
Acoustic Instrumental,0.523,4.27e-05,0.0653,30
Acoustic Instrumental,0.435,1.12e-06,0.0491,51
Acoustic Instrumental,0.447,0.0851,0.0846,62
Acoustic Instrumental,0.447,0.0851,0.0846,41
Acoustic Instrumental,0.39,1.84e-05,0.158,27
Instrumental Focus,0.0308,0.00082,0.113,34
Acoustic Instrumental,0.191,1.93e-05,0.186,42
Instrumental Focus,0.0893,0.00041,0.0458,42
Instrumental Focus,0.264,9.23e-05,0.0443,27
Instrumental Focus,0.0537,0.000559,0.137,48
Acoustic Instrumental,0.459,6.14e-06,0.0353,49
Instrumental Focus,0.0596,0.000602,0.117,35
Acoustic Instrumental,0.422,2.02e-06,0.0786,26
Acoustic Instrumental,0.524,2.48e-05,0.0403,47
Acoustic Instrumental,0.119,0.00162,0.148,38
Acoustic Instrumental,0.645,4.88e-05,0.072,29
Instrumental Focus,0.0954,0.000913,0.146,30
Instrumental Focus,0.241,0.000271,0.129,36
Instrumental Focus,0.168,1.4e-05,0.0371,55
Instrumental Focus,0.128,7e-06,0.122,29
Acoustic Instrumental,0.774,0.000241,0.0835,33
Instrumental Focus,0.108,1.32e-05,0.0486,42
Instrumental Focus,0.313,0.000739,0.0403,28
Instrumental Focus,0.108,1.32e-05,0.0486,31
Acoustic Instrumental,0.189,7.87e-05,0.156,43
Instrumental Focus,0.255,1.64e-05,0.0295,39
Acoustic Instrumental,0.83,0.0939,0.0318,33
Instrumental Focus,0.168,1.4e-05,0.0371,47
Acoustic Instrumental,0.492,2.29e-05,0.129,37
Acoustic Instrumental,0.502,0.000258,0.0994,37
Acoustic Instrumental,0.469,1.08e-05,0.036,59
Acoustic Instrumental,0.471,1.11e-05,0.036,51
Acoustic Instrumental,0.366,0.961,0.0326,46
Acoustic Instrumental,0.457,4.72e-05,0.0258,26
Acoustic Instrumental,0.833,0.00206,0.0285,28
Instrumental Focus,0.275,3.99e-05,0.0494,40
Acoustic Instrumental,0.491,1.2e-05,0.0267,37
Instrumental Focus,0.317,1.42e-05,0.0409,31
Acoustic Instrumental,0.481,0.00131,0.0296,57
Acoustic Instrumental,0.771,0.00954,0.0462,36
Acoustic Instrumental,0.682,0.000112,0.051,50
Acoustic Instrumental,0.616,0.0434,0.0286,44
Acoustic Instrumental,0.481,0.00131,0.0296,39
Acoustic Instrumental,0.656,5.25e-06,0.0287,43
Instrumental Focus,0.0322,0.00109,0.0319,40
Instrumental Focus,0.138,2.32e-06,0.0695,30
Instrumental Focus,0.0322,0.00109,0.0319,50
Instrumental Focus,0.0582,9.01e-06,0.042,38
Instrumental Focus,0.0295,0.00229,0.0303,26
Instrumental Focus,0.226,1.85e-06,0.0425,26
Acoustic Instrumental,0.459,1.33e-06,0.0422,57
Instrumental Focus,0.329,3.78e-05,0.113,52
Instrumental Focus,0.0153,1.68e-05,0.0404,43
Instrumental Focus,0.0276,3.02e-06,0.118,33
Acoustic Instrumental,0.657,0.000163,0.0354,67
Acoustic Instrumental,0.518,1e-05,0.0278,68
Instrumental Focus,0.091,2.8e-06,0.0488,57
Acoustic Instrumental,0.58,1.91e-05,0.0286,59
Acoustic Instrumental,0.465,9.46e-05,0.0422,50
Acoustic Instrumental,0.386,2.97e-06,0.418,49
Instrumental Focus,0.208,0.269,0.0545,36
Instrumental Focus,0.0541,1.29e-06,0.081,40
Instrumental Focus,0.138,2.32e-06,0.0695,65
Acoustic Instrumental,0.408,0.00131,0.0277,55
Acoustic Instrumental,0.488,0.000117,0.0319,53
Acoustic Instrumental,0.773,1.53e-05,0.0286,39
Instrumental Focus,0.126,5.1e-06,0.0343,37
Acoustic Instrumental,0.581,3.79e-06,0.0421,37
Acoustic Instrumental,0.561,0.000625,0.0283,52
Acoustic Instrumental,0.922,0.928,0.026,54
Instrumental Focus,0.207,1.7e-06,0.0627,41
Acoustic Instrumental,0.683,1.42e-05,0.0569,40
Acoustic Instrumental,0.704,2.6e-06,0.0269,39
Instrumental Focus,0.0264,0.000231,0.0516,38
Instrumental Focus,0.144,1.58e-05,0.129,33
Instrumental Focus,0.335,0.0535,0.0924,32
Acoustic Instrumental,0.922,0.928,0.026,32
Instrumental Focus,0.127,0.121,0.0442,29
