cluster_name,acousticness,instrumentalness,speechiness,popularity
Acoustic Instrumental,0.00672,0.929,0.168,49
Acoustic Instrumental,0.226,0.000626,0.252,45
Acoustic Instrumental,0.308,0.72,0.121,51
Instrumental Focus,0.124,0.000155,0.0801,58
Instrumental Focus,0.00544,4.66e-05,0.117,47
Acoustic Instrumental,0.121,0.79,0.0423,49
Acoustic Instrumental,0.363,0.000115,0.0784,49
Acoustic Instrumental,0.00624,0.744,0.0748,47
Instrumental Focus,0.0799,0.000265,0.136,42
Acoustic Instrumental,0.259,0.00216,0.164,45
Instrumental Focus,0.00105,0.000525,0.0933,41
Instrumental Focus,0.0919,0.000488,0.106,49
Instrumental Focus,0.067,0.354,0.0445,38
Instrumental Focus,0.000433,0.468,0.0427,43
Acoustic Instrumental,0.00208,0.833,0.0884,41
Acoustic Instrumental,0.343,0.906,0.0581,44
Acoustic Instrumental,0.588,0.000857,0.028,40
Instrumental Focus,0.0207,0.00361,0.147,50
Acoustic Instrumental,0.039,0.68,0.075,35
Acoustic Instrumental,0.347,3.83e-05,0.0387,39
Acoustic Instrumental,0.00292,0.703,0.0452,43
Instrumental Focus,0.0699,7.35e-06,0.0563,46
Acoustic Instrumental,0.319,0.98,0.175,36
Acoustic Instrumental,0.041,2.02e-05,0.233,38
Acoustic Instrumental,0.602,0.726,0.0344,39
Acoustic Instrumental,0.0177,5.74e-06,0.238,35
Acoustic Instrumental,0.0164,0.497,0.184,36
Acoustic Instrumental,0.594,0.906,0.0608,45
Acoustic Instrumental,0.102,6.55e-05,0.336,34
Acoustic Instrumental,0.117,0.874,0.0363,36
Acoustic Instrumental,0.294,0.859,0.0456,35
Acoustic Instrumental,0.00292,0.703,0.0452,30
Instrumental Focus,0.0666,0.395,0.0992,35
Acoustic Instrumental,0.254,0.0005,0.334,37
Acoustic Instrumental,0.864,2.2e-06,0.0263,46
Instrumental Focus,0.0063,0.0584,0.111,27
Instrumental Focus,0.111,8.65e-05,0.143,38
Acoustic Instrumental,0.000567,0.82,0.114,32
Acoustic Instrumental,0.565,0.818,0.175,28
Acoustic Instrumental,0.587,0.813,0.0446,28
Instrumental Focus,0.00364,0.00112,0.0969,36
Acoustic Instrumental,0.0832,0.804,0.0356,30
Acoustic Instrumental,0.669,2.32e-06,0.0252,37
Instrumental Focus,0.207,0.000238,0.0594,33
Instrumental Focus,0.00653,0.0531,0.083,28
Instrumental Focus,0.0774,1.42e-05,0.1,61
Instrumental Focus,0.00898,0.0101,0.093,58
Acoustic Instrumental,0.0968,0.912,0.0336,55
Acoustic Instrumental,0.254,0.000348,0.207,56
Acoustic Instrumental,0.0202,0.00398,0.187,59
Acoustic Instrumental,0.281,0.639,0.237,50
Acoustic Instrumental,0.103,4.42e-05,0.218,59
Acoustic Instrumental,0.0856,0.889,0.0303,51
Acoustic Instrumental,0.392,0.794,0.0724,46
Instrumental Focus,0.185,7.3e-06,0.128,42
Acoustic Instrumental,0.00401,0.723,0.0377,46
Acoustic Instrumental,0.54,0.914,0.217,45
Acoustic Instrumental,0.0982,0.507,0.0392,42
Acoustic Instrumental,0.747,0.000177,0.0372,40
Acoustic Instrumental,0.347,3.83e-05,0.0387,43
Acoustic Instrumental,0.151,0.789,0.0591,43
Acoustic Instrumental,0.105,4.72e-05,0.206,39
Acoustic Instrumental,0.101,0.896,0.0343,31
Acoustic Instrumental,0.157,0.838,0.109,42
Acoustic Instrumental,0.3,3.97e-06,0.199,39
Instrumental Focus,0.261,5.43e-05,0.0672,34
Instrumental Focus,0.164,0.0812,0.0601,40
Acoustic Instrumental,0.147,0.866,0.11,37
Acoustic Instrumental,0.00256,0.845,0.0571,36
Acoustic Instrumental,0.055,0.887,0.0413,38
Instrumental Focus,0.333,0.00637,0.0478,42
Acoustic Instrumental,0.2,9.7e-05,0.191,32
Acoustic Instrumental,0.563,0.93,0.0351,29
Acoustic Instrumental,0.387,8.66e-06,0.0341,36
Acoustic Instrumental,0.00165,0.588,0.0491,30
Instrumental Focus,0.162,6.87e-05,0.141,31
Acoustic Instrumental,0.498,0.00243,0.0348,29
Acoustic Instrumental,0.0204,0.924,0.0534,26
Acoustic Instrumental,0.808,0.00686,0.0357,37
Acoustic Instrumental,0.301,0.155,0.252,33
Acoustic Instrumental,0.276,0.49,0.246,62
Acoustic Instrumental,0.256,0.000325,0.214,62
Instrumental Focus,0.253,1.94e-05,0.132,61
